MAQUINA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CNMRETBL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMSERPL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMLAMLX,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
CNMLAMLXOUT,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
CNMLAM01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMLAM03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMLAM07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMLAM12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMLAM08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CNMLAM13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
